Round Number,Date,Location,Home Team,Away Team,Group,Result
1,08/08/2019 19:35,"Rugby Park, Invercargill",Southland,Northland,,17 - 27
1,09/08/2019 19:35,"Eden Park, Auckland",Auckland,North Harbour,,28 - 28
1,10/08/2019 14:05,"Lansdowne Park, Blenheim",Tasman,Wellington,,45 - 8
1,10/08/2019 16:35,"Navigation Homes Stadium, Pukekohe",Counties Manukau,Taranaki,,29 - 34
1,10/08/2019 19:35,"FMG Stadium Waikato, Hamilton",Waikato,Canterbury,,31 - 28
1,11/08/2019 14:05,"Tauranga Domain, Tauranga",Bay of Plenty,Otago,,50 - 7
1,11/08/2019 16:35,"Central Energy Trust Arena, Palmerston North",Manawatu,Hawke’s Bay,,13 - 31
2,15/08/2019 19:35,Whangarei,Northland,Auckland,,10 - 43
2,16/08/2019 17:45,North Harbour Stadium,North Harbour,Counties Manukau,,25 - 39
2,16/08/2019 19:45,"McLean Park, Napier",Hawke’s Bay,Wellington,,27 - 27
2,17/08/2019 14:05,"Central Energy Trust Arena, Palmerston North",Manawatu,Taranaki,,10 - 13
2,17/08/2019 16:35,"Forsyth Barr Stadium, Dunedin",Otago,Southland,,41 - 22
2,18/08/2019 14:05,Orangetheory Stadium,Canterbury,Tasman,,8 - 23
2,18/08/2019 16:35,Rotorua International Stadium,Bay of Plenty,Waikato,,40 - 14
3,22/08/2019 19:35,"McLean Park, Napier",Hawke’s Bay,Otago,,29 - 21
3,23/08/2019 19:35,"Westpac Stadium, Wellington",Wellington,Canterbury,,23 - 22
3,24/08/2019 14:35,"Lansdowne Park, Blenheim",Tasman,Manawatu,,64 - 3
3,24/08/2019 17:05,"Eden Park, Auckland",Auckland,Bay of Plenty,,19 - 13
3,24/08/2019 19:35,"Navigation Homes Stadium, Pukekohe",Counties Manukau,Waikato,,26 - 31
3,25/08/2019 14:05,"Yarrow Stadium, Taranaki",Taranaki,Northland,,52 - 19
3,25/08/2019 16:35,"Rugby Park, Invercargill",Southland,North Harbour,,12 - 33
4,29/08/2019 19:35,"Westpac Stadium, Wellington",Wellington,Counties Manukau,,29 - 22
4,30/08/2019 19:35,"Forsyth Barr Stadium, Dunedin",Otago,Manawatu,,37 - 20
4,31/08/2019 14:35,Orangetheory Stadium,Canterbury,Southland,,80 - 0
4,31/08/2019 17:05,Whangarei,Northland,Hawke’s Bay,,28 - 43
4,31/08/2019 19:35,"FMG Stadium Waikato, Hamilton",Waikato,Auckland,,20 - 20
4,01/09/2019 14:05,North Harbour Stadium,North Harbour,Bay of Plenty,,19 - 27
4,01/09/2019 16:35,"Yarrow Stadium, Taranaki",Taranaki,Tasman,,18 - 28
5,05/09/2019 19:35,"Central Energy Trust Arena, Palmerston North",Manawatu,Northland,,31 - 25
5,06/09/2019 17:45,"McLean Park, Napier",Hawke’s Bay,Southland,,41 - 23
5,06/09/2019 19:45,"Navigation Homes Stadium, Pukekohe",Counties Manukau,Tasman,,0 - 36
5,07/09/2019 17:05,North Harbour Stadium,North Harbour,Waikato,,38 - 36
5,07/09/2019 19:35,Rotorua International Stadium,Bay of Plenty,Wellington,,15 - 16
5,08/09/2019 14:05,"Eden Park, Auckland",Auckland,Canterbury,,22 - 32
5,08/09/2019 16:35,"Forsyth Barr Stadium, Dunedin",Otago,Taranaki,,35 - 27
6,12/09/2019 19:35,"FMG Stadium Waikato, Hamilton",Waikato,Hawke’s Bay,,24 - 27
6,13/09/2019 19:35,Whangarei,Northland,Canterbury,,12 - 42
6,14/09/2019 14:35,"Yarrow Stadium, Taranaki",Taranaki,Bay of Plenty,,17 - 31
6,14/09/2019 17:05,"Rugby Park, Invercargill",Southland,Manawatu,,26 - 31
6,14/09/2019 19:35,"Navigation Homes Stadium, Pukekohe",Counties Manukau,Auckland,,13 - 28
6,15/09/2019 14:05,"Westpac Stadium, Wellington",Wellington,Otago,,54 - 24
6,15/09/2019 16:35,"Trafalgar Park, Nelson",Tasman,North Harbour,,21 - 17
7,19/09/2019 19:35,Orangetheory Stadium,Canterbury,Manawatu,,29 - 32
7,20/09/2019 19:35,"McLean Park, Napier",Hawke’s Bay,Taranaki,,35 - 17
7,21/09/2019 14:35,"FMG Stadium Waikato, Hamilton",Waikato,Tasman,,26 - 35
7,21/09/2019 17:05,"Rugby Park, Invercargill",Southland,Counties Manukau,,42 - 14
7,21/09/2019 19:35,North Harbour Stadium,North Harbour,Otago,,15 - 21
7,22/09/2019 14:05,"Eden Park, Auckland",Auckland,Wellington,,15 - 34
7,22/09/2019 16:35,Whangarei,Northland,Bay of Plenty,,22 - 46
8,26/09/2019 19:35,"Yarrow Stadium, Taranaki",Taranaki,Southland,,19 - 0
8,27/09/2019 19:35,"Trafalgar Park, Nelson",Tasman,Auckland,,40 - 0
8,28/09/2019 14:35,"Tauranga Domain, Tauranga",Bay of Plenty,Hawke’s Bay,,51 - 24
8,28/09/2019 17:05,"Westpac Stadium, Wellington",Wellington,Northland,,57 - 36
8,28/09/2019 19:35,Orangetheory Stadium,Canterbury,Counties Manukau,,38 - 5
8,29/09/2019 14:05,"Forsyth Barr Stadium, Dunedin",Otago,Waikato,,45 - 35
8,29/09/2019 16:35,"Central Energy Trust Arena, Palmerston North",Manawatu,North Harbour,,16 - 29
9,03/10/2019 19:35,"Navigation Homes Stadium, Pukekohe",Counties Manukau,Hawke’s Bay,,10 - 22
9,04/10/2019 19:35,North Harbour Stadium,North Harbour,Wellington,,42 - 34
9,05/10/2019 14:35,"Tauranga Domain, Tauranga",Bay of Plenty,Manawatu,,46 - 10
9,05/10/2019 17:05,"Eden Park, Auckland",Auckland,Southland,,64 - 7
9,05/10/2019 19:35,"Forsyth Barr Stadium, Dunedin",Otago,Canterbury,,25 - 35
9,06/10/2019 14:05,"Trafalgar Park, Nelson",Tasman,Northland,,52 - 6
9,06/10/2019 16:35,"FMG Stadium Waikato, Hamilton",Waikato,Taranaki,,38 - 19
10,10/10/2019 19:35,"Rugby Park, Invercargill",Southland,Bay of Plenty,,12 - 22
10,11/10/2019 19:35,"Yarrow Stadium, Taranaki",Taranaki,Auckland,,11 - 35
10,12/10/2019 14:35,"McLean Park, Napier",Hawke’s Bay,Tasman,,28 - 47
10,12/10/2019 17:05,"Central Energy Trust Arena, Palmerston North",Manawatu,Counties Manukau,,33 - 17
10,12/10/2019 19:35,"Westpac Stadium, Wellington",Wellington,Waikato,,39 - 21
10,13/10/2019 14:05,Whangarei,Northland,Otago,,40 - 10
10,13/10/2019 16:35,Orangetheory Stadium,Canterbury,North Harbour,,31 - 25
Semi Finals,18/10/2019 19:35,Rotorua International Stadium,Bay of Plenty,Manawatu,Championship Semifinals,64 - 3
Semi Finals,19/10/2019 14:05,"Lansdowne Park, Blenheim",Tasman,Auckland,Premiership Semifinals,18 - 9
Semi Finals,19/10/2019 16:35,"McLean Park, Napier",Hawke’s Bay,Otago,Championship Semifinals,44 - 39
Semi Finals,19/10/2019 19:05,"Westpac Stadium, Wellington",Wellington,Canterbury,Premiership Semifinals,30 - 19
Finals,25/10/2019 19:35,Rotorua International Stadium,Bay of Plenty,Hawke’s Bay,Championship Final,12 - 7
Finals,26/10/2019 18:05,"Trafalgar Park, Nelson",Tasman,Wellington,Premiership Final,31 - 14
