Season,Round,Date,Time,Home,Away,HG,AG,HTHG,HTAG,Venue
2025,Round N/A,Date N/A,04.05. 12:30,Castleford,Wakefield,8,32,,,N/A
2025,Round N/A,Date N/A,04.05. 10:15,Wigan Warriors,Warrington,22,20,,,N/A
2025,Round N/A,Date N/A,04.05. 08:00,Huddersfield,Hull FC,12,10,,,N/A
2025,Round N/A,Date N/A,03.05. 14:30,St Helens,Leeds,4,17,,,N/A
2025,Round N/A,Date N/A,03.05. 12:15,Hull KR,Salford,54,0,,,N/A
2025,Round N/A,Date N/A,03.05. 10:00,Leigh,Catalans Dragons,26,24,,,N/A
2025,Round N/A,Date N/A,27.04. 10:00,Hull FC,Wigan Warriors,12,36,,,N/A
2025,Round N/A,Date N/A,26.04. 12:30,Catalans Dragons,Wakefield,24,20,,,N/A
2025,Round N/A,Date N/A,26.04. 12:30,Salford,Leigh,6,28,,,N/A
2025,Round N/A,Date N/A,26.04. 10:00,Huddersfield,Castleford,12,30,,,N/A
2025,Round N/A,Date N/A,25.04. 15:00,Leeds,Hull KR,14,20,,,N/A
2025,Round N/A,Date N/A,24.04. 15:00,Warrington,St Helens,32,18,,,N/A
2025,Round N/A,Date N/A,19.04. 13:00,Catalans Dragons,Salford,38,10,,,N/A
2025,Round N/A,Date N/A,19.04. 08:30,Leigh,Warrington,18,14,,,N/A
2025,Round N/A,Date N/A,18.04. 12:30,Leeds,Huddersfield,28,6,,,N/A
2025,Round N/A,Date N/A,18.04. 10:00,Wigan Warriors,St Helens,24,14,,,N/A
2025,Round N/A,Date N/A,18.04. 07:30,Hull FC,Hull KR,14,28,,,N/A
2025,Round N/A,Date N/A,17.04. 15:00,Wakefield,Castleford,13,12,,,N/A
2025,Round N/A,Date N/A,13.04. 10:00,Huddersfield,Catalans Dragons,18,38,,,N/A
2025,Round N/A,Date N/A,12.04. 15:00,Castleford,Leigh,6,20,,,N/A
2025,Round N/A,Date N/A,12.04. 12:30,Warrington,Hull FC,16,28,,,N/A
2025,Round N/A,Date N/A,11.04. 15:00,Hull KR,Wigan Warriors,12,28,,,N/A
2025,Round N/A,Date N/A,11.04. 15:00,St Helens,Wakefield,26,14,,,N/A
2025,Round N/A,Date N/A,10.04. 15:00,Salford,Leeds,0,28,,,N/A
2025,Round N/A,Date N/A,30.03. 10:00,Huddersfield,Hull KR,4,50,,,N/A
2025,Round N/A,Date N/A,30.03. 10:00,Wigan Warriors,Salford,54,0,,,N/A
2025,Round N/A,Date N/A,29.03. 13:30,Catalans Dragons,St Helens,13,14,,,N/A
2025,Round N/A,Date N/A,28.03. 16:00,Leigh,Wakefield,14,40,,,N/A
2025,Round N/A,Date N/A,28.03. 16:00,Warrington,Leeds,16,14,,,N/A
2025,Round N/A,Date N/A,27.03. 16:00,Castleford,Hull FC,14,24,,,N/A
2025,Round N/A,Date N/A,23.03. 11:00,Hull KR,Leigh,30,0,,,N/A
2025,Round N/A,Date N/A,22.03. 13:30,Leeds,Wigan Warriors,12,10,,,N/A
2025,Round N/A,Date N/A,22.03. 11:00,Castleford,Catalans Dragons,4,26,,,N/A
2025,Round N/A,Date N/A,21.03. 16:00,St Helens,Warrington,12,14,,,N/A
2025,Round N/A,Date N/A,21.03. 16:00,Wakefield,Hull FC,12,16,,,N/A
2025,Round N/A,Date N/A,20.03. 16:00,Salford,Huddersfield,23,10,,,N/A
2025,Round N/A,Date N/A,09.03. 09:00,Warrington,Wakefield,16,30,,,N/A
2025,Round N/A,Date N/A,09.03. 09:00,Wigan Warriors,Huddersfield,44,18,,,N/A
2025,Round N/A,Date N/A,08.03. 12:30,Catalans Dragons,Leeds,11,0,,,N/A
2025,Round N/A,Date N/A,07.03. 15:00,Castleford,Salford,22,14,,,N/A
2025,Round N/A,Date N/A,07.03. 15:00,St Helens,Hull KR,10,20,,,N/A
2025,Round N/A,Date N/A,06.03. 15:00AET,Hull FC,Leigh,22,22,,,N/A
2025,Round N/A,Date N/A,02.03. 10:00,Leeds,Castleford,38,24,,,N/A
2025,Round N/A,Date N/A,01.03. 16:30,Wigan Warriors,Warrington,48,24,,,N/A
2025,Round N/A,Date N/A,01.03. 09:30,Wakefield,St Helens,6,26,,,N/A
2025,Round N/A,Date N/A,28.02. 15:00,Huddersfield,Hull FC,10,11,,,N/A
2025,Round N/A,Date N/A,28.02. 15:00,Leigh,Catalans Dragons,34,6,,,N/A
2025,Round N/A,Date N/A,27.02. 15:00,Hull KR,Salford,42,0,,,N/A
2025,Round N/A,Date N/A,23.02. 09:30,Leigh,Huddersfield,24,10,,,N/A
2025,Round N/A,Date N/A,22.02. 15:00,Castleford,St Helens,6,46,,,N/A
2025,Round N/A,Date N/A,22.02. 10:00,Salford,Leeds,6,32,,,N/A
2025,Round N/A,Date N/A,21.02. 15:00,Hull FC,Wigan Warriors,4,46,,,N/A
2025,Round N/A,Date N/A,21.02. 15:00,Warrington,Catalans Dragons,18,12,,,N/A
2025,Round N/A,Date N/A,20.02. 15:00,Wakefield,Hull KR,12,14,,,N/A
2025,Round N/A,Date N/A,16.02. 10:00,Huddersfield,Warrington,12,20,,,N/A
2025,Round N/A,Date N/A,15.02. 12:30,St Helens,Salford,82,0,,,N/A
2025,Round N/A,Date N/A,15.02. 10:00,Leeds,Wakefield,12,14,,,N/A
2025,Round N/A,Date N/A,14.02. 15:00,Catalans Dragons,Hull FC,4,24,,,N/A
2025,Round N/A,Date N/A,14.02. 15:00AET,Hull KR,Castleford,19,18,,,N/A
2025,Round N/A,Date N/A,13.02. 15:00AET,Wigan Warriors,Leigh,0,1,,,N/A
2025,Round N/A,Date N/A,15.05. 15:00,St Helens,Catalans Dragons,,,,,N/A
2025,Round N/A,Date N/A,16.05. 15:00,Leeds,Hull FC,,,,,N/A
2025,Round N/A,Date N/A,16.05. 15:00,Wigan Warriors,Leigh,,,,,N/A
2025,Round N/A,Date N/A,17.05. 12:30,Hull KR,Huddersfield,,,,,N/A
2025,Round N/A,Date N/A,18.05. 10:00,Wakefield,Warrington,,,,,N/A
2025,Round N/A,Date N/A,18.05. 12:30,Castleford,Salford,,,,,N/A
2025,Round N/A,Date N/A,22.05. 15:00,Leigh,Hull FC,,,,,N/A
2025,Round N/A,Date N/A,23.05. 15:00,Huddersfield,St Helens,,,,,N/A
2025,Round N/A,Date N/A,23.05. 15:00,Warrington,Hull KR,,,,,N/A
2025,Round N/A,Date N/A,24.05. 09:30,Castleford,Leeds,,,,,N/A
2025,Round N/A,Date N/A,24.05. 12:30,Catalans Dragons,Wigan Warriors,,,,,N/A
2025,Round N/A,Date N/A,25.05. 10:00,Wakefield,Salford,,,,,N/A
2025,Round N/A,Date N/A,29.05. 15:00,Huddersfield,Leigh,,,,,N/A
2025,Round N/A,Date N/A,30.05. 15:00,Hull KR,St Helens,,,,,N/A
2025,Round N/A,Date N/A,30.05. 15:00,Salford,Wigan Warriors,,,,,N/A
2025,Round N/A,Date N/A,30.05. 15:00,Warrington,Castleford,,,,,N/A
2025,Round N/A,Date N/A,31.05. 09:30,Leeds,Wakefield,,,,,N/A
2025,Round N/A,Date N/A,31.05. 12:30,Catalans Dragons,Hull FC,,,,,N/A
2025,Round N/A,Date N/A,13.06. 15:00,Hull FC,Castleford,,,,,N/A
2025,Round N/A,Date N/A,13.06. 15:00,Hull KR,Catalans Dragons,,,,,N/A
2025,Round N/A,Date N/A,14.06. 10:00,Huddersfield,Wigan Warriors,,,,,N/A
2025,Round N/A,Date N/A,14.06. 12:30,Leeds,Warrington,,,,,N/A
2025,Round N/A,Date N/A,15.06. 09:30,Wakefield,Leigh,,,,,N/A
2025,Round N/A,Date N/A,15.06. 10:00,Salford,St Helens,,,,,N/A
2025,Round N/A,Date N/A,19.06. 15:00,Castleford,Hull KR,,,,,N/A
2025,Round N/A,Date N/A,20.06. 15:00,St Helens,Leeds,,,,,N/A
2025,Round N/A,Date N/A,20.06. 15:00,Wakefield,Wigan Warriors,,,,,N/A
2025,Round N/A,Date N/A,21.06. 10:00,Warrington,Huddersfield,,,,,N/A
2025,Round N/A,Date N/A,21.06. 12:30,Catalans Dragons,Leigh,,,,,N/A
2025,Round N/A,Date N/A,22.06. 10:00,Salford,Hull FC,,,,,N/A
2025,Round N/A,Date N/A,27.06. 15:00,Hull KR,Wakefield,,,,,N/A
2025,Round N/A,Date N/A,27.06. 15:00,Leeds,Leigh,,,,,N/A
2025,Round N/A,Date N/A,27.06. 15:00,Warrington,Hull FC,,,,,N/A
2025,Round N/A,Date N/A,28.06. 12:30,Catalans Dragons,Huddersfield,,,,,N/A
2025,Round N/A,Date N/A,28.06. 15:00,Castleford,Wigan Warriors,,,,,N/A
2025,Round N/A,Date N/A,29.06. 10:00,St Helens,Salford,,,,,N/A
2025,Round N/A,Date N/A,03.07. 15:00,Castleford,Huddersfield,,,,,N/A
2025,Round N/A,Date N/A,04.07. 15:00,Leigh,Wigan Warriors,,,,,N/A
2025,Round N/A,Date N/A,04.07. 15:00,Salford,Warrington,,,,,N/A
2025,Round N/A,Date N/A,05.07. 10:00,Hull FC,St Helens,,,,,N/A
2025,Round N/A,Date N/A,05.07. 12:30,Wakefield,Catalans Dragons,,,,,N/A
2025,Round N/A,Date N/A,06.07. 10:00,Hull KR,Leeds,,,,,N/A
2025,Round N/A,Date N/A,10.07. 15:00,Hull FC,Wakefield,,,,,N/A
2025,Round N/A,Date N/A,11.07. 15:00,Leeds,St Helens,,,,,N/A
2025,Round N/A,Date N/A,11.07. 15:00,Wigan Warriors,Huddersfield,,,,,N/A
2025,Round N/A,Date N/A,12.07. 10:00,Leigh,Hull KR,,,,,N/A
2025,Round N/A,Date N/A,12.07. 13:00,Catalans Dragons,Warrington,,,,,N/A
2025,Round N/A,Date N/A,13.07. 10:00,Salford,Castleford,,,,,N/A
2025,Round N/A,Date N/A,17.07. 15:00,St Helens,Leigh,,,,,N/A
2025,Round N/A,Date N/A,18.07. 15:00,Huddersfield,Wakefield,,,,,N/A
2025,Round N/A,Date N/A,18.07. 15:00,Leeds,Salford,,,,,N/A
2025,Round N/A,Date N/A,19.07. 10:00,Wigan Warriors,Hull FC,,,,,N/A
2025,Round N/A,Date N/A,19.07. 13:00,Catalans Dragons,Hull KR,,,,,N/A
2025,Round N/A,Date N/A,20.07. 10:00,Castleford,Warrington,,,,,N/A
2025,Round N/A,Date N/A,24.07. 15:00,Wakefield,Leeds,,,,,N/A
2025,Round N/A,Date N/A,25.07. 15:00,Wigan Warriors,Catalans Dragons,,,,,N/A
2025,Round N/A,Date N/A,26.07. 10:00,Hull FC,Huddersfield,,,,,N/A
2025,Round N/A,Date N/A,31.07. 15:00,Salford,Hull KR,,,,,N/A
2025,Round N/A,Date N/A,01.08. 15:00,Leigh,Warrington,,,,,N/A
2025,Round N/A,Date N/A,01.08. 15:00,St Helens,Castleford,,,,,N/A
2025,Round N/A,Date N/A,07.08. 15:00,Leigh,Leeds,,,,,N/A
2025,Round N/A,Date N/A,08.08. 15:00,Wakefield,St Helens,,,,,N/A
2025,Round N/A,Date N/A,08.08. 15:00,Warrington,Wigan Warriors,,,,,N/A
2025,Round N/A,Date N/A,09.08. 10:00,Hull KR,Castleford,,,,,N/A
2025,Round N/A,Date N/A,09.08. 12:30,Huddersfield,Catalans Dragons,,,,,N/A
2025,Round N/A,Date N/A,10.08. 10:00,Hull FC,Salford,,,,,N/A
2025,Round N/A,Date N/A,14.08. 15:00,Warrington,Catalans Dragons,,,,,N/A
2025,Round N/A,Date N/A,15.08. 15:00,St Helens,Huddersfield,,,,,N/A
2025,Round N/A,Date N/A,15.08. 15:00,Wigan Warriors,Hull KR,,,,,N/A
2025,Round N/A,Date N/A,16.08. 10:00,Castleford,Leeds,,,,,N/A
2025,Round N/A,Date N/A,16.08. 12:30,Hull FC,Leigh,,,,,N/A
2025,Round N/A,Date N/A,17.08. 10:00,Salford,Wakefield,,,,,N/A
2025,Round N/A,Date N/A,21.08. 15:00,Leeds,Hull KR,,,,,N/A
2025,Round N/A,Date N/A,22.08. 15:00,Leigh,Salford,,,,,N/A
2025,Round N/A,Date N/A,22.08. 15:00,St Helens,Hull FC,,,,,N/A
2025,Round N/A,Date N/A,23.08. 10:00,Huddersfield,Warrington,,,,,N/A
2025,Round N/A,Date N/A,23.08. 13:00,Catalans Dragons,Castleford,,,,,N/A
2025,Round N/A,Date N/A,24.08. 10:00,Wigan Warriors,Wakefield,,,,,N/A
2025,Round N/A,Date N/A,28.08. 15:00,Leigh,Castleford,,,,,N/A
2025,Round N/A,Date N/A,29.08. 15:00,Hull KR,St Helens,,,,,N/A
2025,Round N/A,Date N/A,29.08. 15:00,Warrington,Salford,,,,,N/A
2025,Round N/A,Date N/A,30.08. 10:00,Hull FC,Leeds,,,,,N/A
2025,Round N/A,Date N/A,30.08. 15:00,Catalans Dragons,Wigan Warriors,,,,,N/A
2025,Round N/A,Date N/A,31.08. 10:00,Wakefield,Huddersfield,,,,,N/A
2025,Round N/A,Date N/A,04.09. 15:00,Salford,Catalans Dragons,,,,,N/A
2025,Round N/A,Date N/A,05.09. 15:00,Castleford,Wakefield,,,,,N/A
2025,Round N/A,Date N/A,05.09. 15:00,St Helens,Wigan Warriors,,,,,N/A
2025,Round N/A,Date N/A,06.09. 10:00,Warrington,Leigh,,,,,N/A
2025,Round N/A,Date N/A,06.09. 12:30,Huddersfield,Leeds,,,,,N/A
2025,Round N/A,Date N/A,07.09. 10:00,Hull KR,Hull FC,,,,,N/A
2025,Round N/A,Date N/A,11.09. 15:00,Leeds,Catalans Dragons,,,,,N/A
2025,Round N/A,Date N/A,12.09. 15:00,Leigh,St Helens,,,,,N/A
2025,Round N/A,Date N/A,12.09. 15:00,Wigan Warriors,Castleford,,,,,N/A
2025,Round N/A,Date N/A,13.09. 10:00,Wakefield,Hull KR,,,,,N/A
2025,Round N/A,Date N/A,13.09. 12:30,Hull FC,Warrington,,,,,N/A
2025,Round N/A,Date N/A,14.09. 10:00,Huddersfield,Salford,,,,,N/A
2025,Round N/A,Date N/A,19.09. 15:00,Hull FC,Catalans Dragons,,,,,N/A
2025,Round N/A,Date N/A,19.09. 15:00,Hull KR,Warrington,,,,,N/A
2025,Round N/A,Date N/A,19.09. 15:00,Leigh,Huddersfield,,,,,N/A
2025,Round N/A,Date N/A,19.09. 15:00,Salford,Wakefield,,,,,N/A
2025,Round N/A,Date N/A,19.09. 15:00,St Helens,Castleford,,,,,N/A
2025,Round N/A,Date N/A,19.09. 15:00,Wigan Warriors,Leeds,,,,,N/A
